State,Year,Month,Average Temperature
Iowa,1960,March,-6.181
Iowa,1960,December,-4.702
Iowa,1960,November,4.201
Iowa,1960,April,10.266
Iowa,1960,October,11.33
Iowa,1960,May,15.277
Iowa,1960,September,18.603
Iowa,1960,June,19.641
Iowa,1960,July,22.6
Iowa,1960,August,22.927
Iowa,1980,February,-6.795
Iowa,1980,January,-5.964
Iowa,1980,December,-3.819
Iowa,1980,March,0.32
Iowa,1980,November,4.309
Iowa,1980,October,9.28
Iowa,1980,April,10.023
Iowa,1980,May,16.772
Iowa,1980,September,18.569
Iowa,1980,June,21.39
Iowa,1980,August,23.583
Iowa,1980,July,25.393
Iowa,2000,December,-11.615
Iowa,2000,January,-5.23
Iowa,2000,November,0.542
Iowa,2000,February,0.695
Iowa,2000,March,6.494
Iowa,2000,April,10.024
Iowa,2000,October,13.043
Iowa,2000,May,17.812
Iowa,2000,September,18.73
Iowa,2000,June,20.592
Iowa,2000,July,23.138
Iowa,2000,August,23.491
Kansas,1820,January,-5.802
Kansas,1820,December,-3.146
Kansas,1820,February,0.562
Kansas,1820,November,4.14
Kansas,1820,March,4.22
Kansas,1820,October,11.864
Kansas,1820,April,13.115
Kansas,1820,May,17.3
Kansas,1820,September,19.353
Kansas,1820,June,22.709
Kansas,1820,August,22.787
Kansas,1820,July,23.869
Kansas,1840,January,-2.813
Kansas,1840,December,0.314
Kansas,1840,February,1.599
Kansas,1840,November,3.672
Kansas,1840,March,6.311
Kansas,1840,October,11.27
Kansas,1840,April,12.224
Kansas,1840,May,17.402
Kansas,1840,September,17.877
Kansas,1840,June,23.167
Kansas,1840,August,23.657
Kansas,1840,July,24.947
Kansas,1860,January,-1.816
Kansas,1860,December,-0.83
Kansas,1860,February,0.848
Kansas,1860,November,4.676
Kansas,1860,March,8.296
Kansas,1860,April,12.586
Kansas,1860,October,13.494
Kansas,1860,May,19.121
Kansas,1860,September,20.725
Kansas,1860,June,23.992
Kansas,1860,August,24.977
Kansas,1860,July,27.179
Kansas,1880,December,-3.893
Kansas,1880,November,-0.662
Kansas,1880,February,1.876
Kansas,1880,January,3.295
Kansas,1880,March,4.674
Kansas,1880,October,11.343
Kansas,1880,April,12.623
Kansas,1880,September,18.904
Kansas,1880,May,20.494
Kansas,1880,June,23.367
Kansas,1880,August,24.431
Kansas,1880,July,24.75
Kansas,1900,February,-2.434
Kansas,1900,December,1.229
Kansas,1900,January,1.433
Kansas,1900,November,5.047
Kansas,1900,March,5.441
Kansas,1900,April,12.311
Kansas,1900,October,15.609
Kansas,1900,May,18.128
Kansas,1900,September,20.847
Kansas,1900,June,23.542
Kansas,1900,July,25.293
Kansas,1900,August,26.73
Kansas,1920,January,-0.61
Kansas,1920,December,0.544
Kansas,1920,February,1.662
Kansas,1920,November,3.91
Kansas,1920,March,6.851
Kansas,1920,April,8.653
Kansas,1920,October,15.142
Kansas,1920,May,16.848
Kansas,1920,September,20.409
Kansas,1920,August,22.329
Kansas,1920,June,22.333
Kansas,1920,July,25.078
Kansas,1940,January,-9.797
Kansas,1940,February,0.409
Kansas,1940,December,1.815
Kansas,1940,November,4.085
Kansas,1940,March,6.51
Kansas,1940,April,11.674
Kansas,1940,October,16.774
Kansas,1940,May,17.311
Kansas,1940,September,20.991
Kansas,1940,June,23.138
Kansas,1940,August,24.194
Kansas,1940,July,27.309
Kansas,1960,February,-3.394
Kansas,1960,January,-2.405
Kansas,1960,December,-0.238
Kansas,1960,March,0.084
Kansas,1960,November,6.735
Kansas,1960,April,13.747
Kansas,1960,October,14.635
Kansas,1960,May,17.056
Kansas,1960,September,21.424
Kansas,1960,June,22.598
Kansas,1960,July,24.72
Kansas,1960,August,25.525
Kansas,1980,January,-1.507
Kansas,1980,February,-1.385
Kansas,1980,December,2.279
Kansas,1980,March,4.156
Kansas,1980,November,7.2
Kansas,1980,April,11.429
Kansas,1980,October,13.258
Kansas,1980,May,17.219
Kansas,1980,September,21.9
Kansas,1980,June,25.044
Kansas,1980,August,27.296
Kansas,1980,July,29.848
Kansas,2000,December,-4.235
Kansas,2000,January,0.845
Kansas,2000,November,2.87
Kansas,2000,February,5.084
Kansas,2000,March,8.109
Kansas,2000,April,12.266
Kansas,2000,October,15.305
Kansas,2000,May,19.577
Kansas,2000,September,22.227
Kansas,2000,June,22.75
Kansas,2000,July,26.609
Kansas,2000,August,28.716
Michigan,1820,January,-10.946
Michigan,1820,December,-7.517
Michigan,1820,February,-4.903
Michigan,1820,March,-3.29
Michigan,1820,November,-0.143
Michigan,1820,April,6.641
Michigan,1820,October,6.938
Michigan,1820,May,11.162
Michigan,1820,September,14.627
Michigan,1820,June,17.403
Michigan,1820,August,17.819
Michigan,1820,July,19.346
Michigan,1840,January,-8.641
Michigan,1840,December,-4.985
Michigan,1840,February,-3.28
Michigan,1840,March,-0.025
Michigan,1840,November,1.435
Michigan,1840,April,6.623
Michigan,1840,October,7.008
Michigan,1840,September,12.804
Michigan,1840,May,13.587
Michigan,1840,June,17.683
Michigan,1840,August,18.272
Michigan,1840,July,20.038
Michigan,1860,December,-6.264
Michigan,1860,January,-6.145
Michigan,1860,February,-6.128
Michigan,1860,November,0.972
Michigan,1860,March,0.984
Michigan,1860,April,4.264
Michigan,1860,October,8.05
Michigan,1860,September,12.874
Michigan,1860,May,13.245
Michigan,1860,June,16.973
Michigan,1860,August,17.745
Michigan,1860,July,18.41
Michigan,1880,December,-7.505
Michigan,1880,February,-3.977
Michigan,1880,November,-3.047
Michigan,1880,March,-2.371
Michigan,1880,January,-0.848
Michigan,1880,April,5.216
Michigan,1880,October,7.29
Michigan,1880,September,14.453
Michigan,1880,May,15.025
Michigan,1880,June,18.121
Michigan,1880,August,18.877
Michigan,1880,July,19.617
Michigan,1900,February,-9.321
Michigan,1900,March,-5.462
Michigan,1900,January,-4.566
Michigan,1900,December,-3.475
Michigan,1900,November,1.21
Michigan,1900,April,7.084
Michigan,1900,May,12.826
Michigan,1900,October,13.16
Michigan,1900,September,16.666
Michigan,1900,June,16.841
Michigan,1900,July,19.178
Michigan,1900,August,22.029
Michigan,1920,January,-11.786
Michigan,1920,February,-8.625
Michigan,1920,December,-1.897
Michigan,1920,March,-0.648
Michigan,1920,November,1.619
Michigan,1920,April,2.568
Michigan,1920,May,10.931
Michigan,1920,October,12.712
Michigan,1920,September,16.576
Michigan,1920,June,17.733
Michigan,1920,July,18.169
Michigan,1920,August,18.628
Michigan,1940,January,-8.881
Michigan,1940,February,-5.224
Michigan,1940,March,-4.33
Michigan,1940,December,-2.633
Michigan,1940,November,1.237
Michigan,1940,April,3.571
Michigan,1940,October,9.229
Michigan,1940,May,10.637
Michigan,1940,September,15.355
Michigan,1940,June,16.971
Michigan,1940,August,19.136
Michigan,1940,July,20.449
Michigan,1960,March,-6.03
Michigan,1960,December,-5.994
Michigan,1960,February,-5.422
Michigan,1960,January,-4.925
Michigan,1960,November,4.205
Michigan,1960,April,6.738
Michigan,1960,October,9.18
Michigan,1960,May,11.988
Michigan,1960,June,16.241
Michigan,1960,September,16.309
Michigan,1960,July,18.93
Michigan,1960,August,19.636
Michigan,1980,February,-7.66
Michigan,1980,January,-6.204
Michigan,1980,December,-5.882
Michigan,1980,March,-2.706
Michigan,1980,November,2.057
Michigan,1980,April,5.977
Michigan,1980,October,6.501
Michigan,1980,May,13.487
Michigan,1980,September,15.047
Michigan,1980,June,15.717
Michigan,1980,July,20.427
Michigan,1980,August,20.609
Michigan,2000,December,-8.259
Michigan,2000,January,-6.478
Michigan,2000,February,-2.604
Michigan,2000,November,3.013
Michigan,2000,March,3.975
Michigan,2000,April,5.84
Michigan,2000,October,10.781
Michigan,2000,May,13.768
Michigan,2000,September,14.998
Michigan,2000,June,17.478
Michigan,2000,July,19.131
Michigan,2000,August,19.315
Minnesota,1820,January,-18.417
Minnesota,1820,December,-13.948
Minnesota,1820,February,-10.468
Minnesota,1820,March,-6.25
Minnesota,1820,November,-3.579
Minnesota,1820,October,5.755
Minnesota,1820,April,6.5
Minnesota,1820,May,11.547
Minnesota,1820,September,13.32
Minnesota,1820,August,16.681
Minnesota,1820,June,17.754
Minnesota,1820,July,18.066
Minnesota,1840,January,-13.22
Minnesota,1840,February,-10.154
Minnesota,1840,December,-9.648
Minnesota,1840,March,-3.278
Minnesota,1840,November,-2.824
Minnesota,1840,October,4.054
Minnesota,1840,April,4.796
Minnesota,1840,September,12.325
Minnesota,1840,May,13.815
Minnesota,1840,August,17.128
Minnesota,1840,June,18.277
Minnesota,1840,July,20.546
Minnesota,1860,January,-12.715
Minnesota,1860,December,-11.872
Minnesota,1860,February,-10.56
Minnesota,1860,November,-3.434
Minnesota,1860,March,-0.718
Minnesota,1860,April,4.156
Minnesota,1860,October,6.233
Minnesota,1860,September,11.444
Minnesota,1860,May,13.132
Minnesota,1860,August,16.832
Minnesota,1860,June,17.222
Minnesota,1860,July,19.046
Minnesota,1880,December,-14.443
Minnesota,1880,February,-10.737
Minnesota,1880,January,-8.758
Minnesota,1880,November,-7.871
Minnesota,1880,March,-6.223
Minnesota,1880,April,3.471
Minnesota,1880,October,5.299
Minnesota,1880,September,12.911
Minnesota,1880,May,14.709
Minnesota,1880,June,18.038
Minnesota,1880,August,18.787
Minnesota,1880,July,20.111
Minnesota,1900,February,-15.872
Minnesota,1900,January,-9.022
Minnesota,1900,December,-8.528
Minnesota,1900,March,-6.06
Minnesota,1900,November,-4.467
Minnesota,1900,April,8.755
Minnesota,1900,October,11.55
Minnesota,1900,September,14.2
Minnesota,1900,May,14.255
Minnesota,1900,June,18.418
Minnesota,1900,July,19.356
Minnesota,1900,August,22.282
Minnesota,1920,January,-16.074
Minnesota,1920,February,-10.976
Minnesota,1920,December,-7.689
Minnesota,1920,March,-3.04
Minnesota,1920,November,-1.781
Minnesota,1920,April,1.08
Minnesota,1920,October,10.81
Minnesota,1920,May,12.45
Minnesota,1920,September,16.184
Minnesota,1920,June,17.632
Minnesota,1920,August,18.941
Minnesota,1920,July,19.404
Minnesota,1940,January,-15.43
Minnesota,1940,February,-8.646
Minnesota,1940,December,-7.71
Minnesota,1940,March,-6.274
Minnesota,1940,November,-3.94
Minnesota,1940,April,3.939
Minnesota,1940,October,10.036
Minnesota,1940,May,11.625
Minnesota,1940,September,16.429
Minnesota,1940,June,17.265
Minnesota,1940,August,18.645
Minnesota,1940,July,21.42
Minnesota,1960,January,-11.78
Minnesota,1960,December,-10.559
Minnesota,1960,February,-10.275
Minnesota,1960,March,-8.442
Minnesota,1960,November,-0.055
Minnesota,1960,April,5.24
Minnesota,1960,October,8.214
Minnesota,1960,May,12.474
Minnesota,1960,September,15.013
Minnesota,1960,June,16.556
Minnesota,1960,July,20.565
Minnesota,1960,August,20.568
Minnesota,1980,January,-12.375
Minnesota,1980,February,-11.279
Minnesota,1980,December,-9.948
Minnesota,1980,March,-5.47
Minnesota,1980,November,0.551
Minnesota,1980,October,5.613
Minnesota,1980,April,7.895
Minnesota,1980,September,13.726
Minnesota,1980,May,15.137
Minnesota,1980,June,17.97
Minnesota,1980,August,19.295
Minnesota,1980,July,21.414
Minnesota,2000,December,-15.975
Minnesota,2000,January,-11.688
Minnesota,2000,February,-4.87
Minnesota,2000,November,-1.742
Minnesota,2000,March,2.556
Minnesota,2000,April,5.698
Minnesota,2000,October,9.108
Minnesota,2000,May,13.952
Minnesota,2000,September,14.078
Minnesota,2000,June,16.681
Minnesota,2000,August,20.133
Minnesota,2000,July,20.592
Missouri,1820,January,-5.56
Missouri,1820,December,-2.49
Missouri,1820,February,1.382
Missouri,1820,November,4.776
Missouri,1820,March,4.812
Missouri,1820,October,11.995
Missouri,1820,April,13.897
Missouri,1820,May,17.523
Missouri,1820,September,19.242
Missouri,1820,August,22.481
Missouri,1820,June,22.523
Missouri,1820,July,23.575
Missouri,1840,January,-3.594
Missouri,1840,December,0.76
Missouri,1840,February,3.039
Missouri,1840,November,4.636
Missouri,1840,March,7.669
Missouri,1840,October,11.784
Missouri,1840,April,14.075
Missouri,1840,September,17.486
Missouri,1840,May,18.309
Missouri,1840,August,23.298
Missouri,1840,June,23.352
Missouri,1840,July,24.015
Missouri,1860,December,-1.111
Missouri,1860,January,-0.857
Missouri,1860,February,1.768
Missouri,1860,November,4.921
Missouri,1860,March,8.777
Missouri,1860,October,13.629
Missouri,1860,April,13.721
Missouri,1860,September,19.619
Missouri,1860,May,20.105
Missouri,1860,June,23.382
Missouri,1860,August,24.584
Missouri,1860,July,26.34
Missouri,1880,December,-2.98
Missouri,1880,November,0.083
Missouri,1880,February,3.246
Missouri,1880,March,5.946
Missouri,1880,January,6.097
Missouri,1880,October,11.804
Missouri,1880,April,13.407
Missouri,1880,September,18.333
Missouri,1880,May,20.868
Missouri,1880,June,22.844
Missouri,1880,July,24.43
Missouri,1880,August,24.452
Missouri,1900,February,-3.265
Missouri,1900,January,1.106
Missouri,1900,December,1.571
Missouri,1900,March,4.706
Missouri,1900,November,6.148
Missouri,1900,April,13.261
Missouri,1900,October,16.32
Missouri,1900,May,18.675
Missouri,1900,September,21.536
Missouri,1900,June,22.502
Missouri,1900,July,24.601
Missouri,1900,August,26.56
Missouri,1920,January,-2.352
Missouri,1920,February,1.152
Missouri,1920,December,1.68
Missouri,1920,November,4.805
Missouri,1920,March,6.898
Missouri,1920,April,9.732
Missouri,1920,October,15.636
Missouri,1920,May,17.37
Missouri,1920,September,20.837
Missouri,1920,June,22.205
Missouri,1920,August,22.491
Missouri,1920,July,24.327
Missouri,1940,January,-9.761
Missouri,1940,February,0.165
Missouri,1940,December,2.942
Missouri,1940,November,5.078
Missouri,1940,March,5.611
Missouri,1940,April,11.658
Missouri,1940,October,16.524
Missouri,1940,May,16.636
Missouri,1940,September,19.965
Missouri,1940,June,22.744
Missouri,1940,August,23.774
Missouri,1940,July,25.199
Missouri,1960,February,-1.409
Missouri,1960,March,-1.15
Missouri,1960,December,-0.621
Missouri,1960,January,-0.366
Missouri,1960,November,7.67
Missouri,1960,April,13.974
Missouri,1960,October,14.704
Missouri,1960,May,16.984
Missouri,1960,September,22.133
Missouri,1960,June,22.344
Missouri,1960,July,24.054
Missouri,1960,August,25.138
Missouri,1980,February,-2.125
Missouri,1980,January,-0.474
Missouri,1980,December,1.529
Missouri,1980,March,4.597
Missouri,1980,November,7.093
Missouri,1980,April,12.221
Missouri,1980,October,12.617
Missouri,1980,May,18.355
Missouri,1980,September,22.036
Missouri,1980,June,23.879
Missouri,1980,August,27.492
Missouri,1980,July,29.099
Missouri,2000,December,-5.89
Missouri,2000,January,0.568
Missouri,2000,November,4.634
Missouri,2000,February,5.576
Missouri,2000,March,9.253
Missouri,2000,April,12.636
Missouri,2000,October,15.925
Missouri,2000,May,20.068
Missouri,2000,September,21.164
Missouri,2000,June,22.348
Missouri,2000,July,25.083
Missouri,2000,August,26.996
Nebraska,1820,January,-9.817
Nebraska,1820,December,-6.92
Nebraska,1820,February,-3.348
Nebraska,1820,March,0.139
Nebraska,1820,November,0.77
Nebraska,1820,October,8.753
Nebraska,1820,April,9.897
Nebraska,1820,May,14.41
Nebraska,1820,September,16.389
Nebraska,1820,August,20.07
Nebraska,1820,June,20.237
Nebraska,1820,July,21.239
Nebraska,1840,January,-5.841
Nebraska,1840,December,-3.145
Nebraska,1840,February,-2.775
Nebraska,1840,November,0.606
Nebraska,1840,March,2.255
Nebraska,1840,October,7.651
Nebraska,1840,April,8.486
Nebraska,1840,September,15.137
Nebraska,1840,May,15.162
Nebraska,1840,June,20.789
Nebraska,1840,August,20.838
Nebraska,1840,July,22.986
Nebraska,1860,January,-5.393
Nebraska,1860,December,-4.374
Nebraska,1860,February,-2.917
Nebraska,1860,November,1.212
Nebraska,1860,March,4.858
Nebraska,1860,April,8.693
Nebraska,1860,October,10.262
Nebraska,1860,May,15.713
Nebraska,1860,September,16.701
Nebraska,1860,June,20.735
Nebraska,1860,August,21.872
Nebraska,1860,July,23.879
Nebraska,1880,December,-8.302
Nebraska,1880,November,-4.68
Nebraska,1880,February,-2.432
Nebraska,1880,January,-0.977
Nebraska,1880,March,0.108
Nebraska,1880,October,8.158
Nebraska,1880,April,8.419
Nebraska,1880,September,16.289
Nebraska,1880,May,17.746
Nebraska,1880,June,20.73
Nebraska,1880,August,22.48
Nebraska,1880,July,23.059
Nebraska,1900,February,-6.595
Nebraska,1900,January,-1.605
Nebraska,1900,December,-0.71
Nebraska,1900,November,1.34
Nebraska,1900,March,1.938
Nebraska,1900,April,10.142
Nebraska,1900,October,12.513
Nebraska,1900,May,17.019
Nebraska,1900,September,17.297
Nebraska,1900,June,21.817
Nebraska,1900,July,23.022
Nebraska,1900,August,24.512
Nebraska,1920,January,-3.491
Nebraska,1920,December,-3.438
Nebraska,1920,February,-2.18
Nebraska,1920,November,0.822
Nebraska,1920,March,2.596
Nebraska,1920,April,3.959
Nebraska,1920,October,12.256
Nebraska,1920,May,13.938
Nebraska,1920,September,17.777
Nebraska,1920,June,19.818
Nebraska,1920,August,20.554
Nebraska,1920,July,22.936
Nebraska,1940,January,-11.871
Nebraska,1940,February,-2.842
Nebraska,1940,December,-1.707
Nebraska,1940,November,0.23
Nebraska,1940,March,2.482
Nebraska,1940,April,8.172
Nebraska,1940,October,13.767
Nebraska,1940,May,14.932
Nebraska,1940,September,19.961
Nebraska,1940,June,21.444
Nebraska,1940,August,22.245
Nebraska,1940,July,25.942
Nebraska,1960,February,-7.229
Nebraska,1960,January,-6.461
Nebraska,1960,December,-3.125
Nebraska,1960,March,-3.03
Nebraska,1960,November,3.56
Nebraska,1960,April,9.868
Nebraska,1960,October,11.528
Nebraska,1960,May,14.597
Nebraska,1960,September,18.362
Nebraska,1960,June,19.534
Nebraska,1960,August,23.026
Nebraska,1960,July,23.347
Nebraska,1980,January,-5.247
Nebraska,1980,February,-3.949
Nebraska,1980,December,-0.715
Nebraska,1980,March,0.715
Nebraska,1980,November,4.593
Nebraska,1980,April,9.47
Nebraska,1980,October,10.006
Nebraska,1980,May,15.185
Nebraska,1980,September,18.578
Nebraska,1980,June,21.907
Nebraska,1980,August,23.456
Nebraska,1980,July,25.918
Nebraska,2000,December,-7.44
Nebraska,2000,January,-2.024
Nebraska,2000,November,-1.85
Nebraska,2000,February,1.719
Nebraska,2000,March,5.687
Nebraska,2000,April,9.417
Nebraska,2000,October,11.72
Nebraska,2000,May,16.827
Nebraska,2000,September,18.571
Nebraska,2000,June,20.207
Nebraska,2000,July,24.476
Nebraska,2000,August,25.026
North Dakota,1820,January,-18.189
North Dakota,1820,December,-13.907
